strat,dt,ticker,score,target_pos,pnl,gross,net
strategy_a,2026-07-23,TSLA,1.4362,3744537.26,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,MSFT,-0.4758,-3118504.32,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,AAPL,0.2935,10947651.15,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,NVDA,-1.1417,-8079177.33,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,AAPL,1.1253,2812072.26,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,JPM,0.6774,5531697.22,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,JPM,0.2681,3924781.12,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,AMZN,-0.2299,-4896120.98,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,TSLA,0.9773,-2695002.22,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,JPM,0.1671,-5028667.52,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,AMZN,2.8141,1543280.49,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,AAPL,1.5229,3723381.99,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,AMZN,0.6283,4926075.96,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,GOOGL,0.4792,-8018722.22,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,NVDA,-1.1071,2288716.18,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,MSFT,0.096,-4770226.12,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,TSLA,1.2235,-8653038.35,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,NVDA,-0.4998,2944784.74,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,XOM,-0.3247,-9895749.9,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,AMZN,-0.2232,-3366115.3,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,GOOGL,-2.5123,4326707.95,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,TSLA,0.6424,5001106.63,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,JPM,1.1276,360574.51,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,AMZN,-0.4556,-13842814.78,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,JPM,0.6529,5395128.3,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,AAPL,1.6686,2393550.89,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,AMZN,1.0318,-3017027.13,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,TSLA,-1.6072,4028226.73,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,NVDA,-0.3441,5307799.59,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,AMZN,1.3982,3217824.16,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,AAPL,0.1334,-1050210.79,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,NVDA,-1.4316,4821514.66,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,XOM,-0.3504,2295833.06,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,GOOGL,1.2733,2517017.72,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,NVDA,-0.6001,6606462.57,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,GOOGL,1.1483,2154870.18,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,MSFT,-1.1379,-1210300.24,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,MSFT,0.2549,2630908.23,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,XOM,1.1931,3832407.15,-479591.01,25032960.36,5190678.85
strategy_a,2026-07-23,MSFT,-0.6471,-1170004.07,-479591.01,25032960.36,5190678.85
