StrategyID,Date,Symbol,SignalScore,PositionTarget,ProfitLossUSD,GrossExposure,NetExposure
strategy_b,07/23/2026,TSLA,2.1396,1323035.17,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,XOM,1.253,-3092375.68,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,JPM,-0.7083,-3893281.25,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,MSFT,-0.275,-2222531.05,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,TSLA,-0.0858,-4556484.17,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,JPM,1.0836,-6874246.12,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,MSFT,-1.7256,6431405.6,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,JPM,2.03,-8999266.51,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,NVDA,1.3726,10022997.37,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,JPM,-0.0147,-8568913.82,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,MSFT,-0.7875,-7798466.64,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,AMZN,-1.4085,5093201.24,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,GOOGL,-0.5072,9288506.21,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,JPM,0.9209,3231757.05,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,JPM,-0.8339,1581174.77,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,AMZN,0.2298,1773967.0,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,AAPL,-0.3681,-831723.7,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,AAPL,0.1294,3844569.14,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,MSFT,-0.8716,-5628123.75,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,AMZN,0.1931,3470084.71,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,AMZN,1.4706,2632699.63,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,MSFT,0.9347,-60872.5,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,JPM,0.0136,-9489554.59,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,AMZN,-1.2991,5620520.63,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,JPM,0.6301,-1344124.97,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,JPM,1.43,7330631.4,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,MSFT,-1.4015,4337719.43,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,AAPL,0.1589,3911968.44,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,NVDA,0.2252,2183763.37,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,MSFT,0.0644,-3888774.8,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,MSFT,-1.0686,3188095.93,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,XOM,0.7331,8396249.99,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,GOOGL,-0.8485,-8443689.37,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,AMZN,-0.4786,3311317.22,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,AMZN,-0.8603,-3161658.86,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,AAPL,-1.0439,-821334.92,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,MSFT,0.2241,-4094352.25,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,AAPL,-1.4401,1092335.37,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,JPM,-0.0244,2589297.78,-93525.23,18278062.76,-3178586.18
strategy_b,07/23/2026,NVDA,1.1972,4843049.82,-93525.23,18278062.76,-3178586.18
